,pandemic,covid,covid-19,coronavirus,cases,cdc,fauci,recession,crisis,deaths,restrictions,lockdown,vaccine,vaccines,travel,stimulus,variant,pfizer
2017-07-26,68,0,0,83,92,98,0,72,96,81,68,68,94,74,85,85,68,62
2017-07-27,28,0,0,83,80,81,0,100,88,86,88,44,100,81,83,62,94,76
2017-07-28,35,0,0,0,80,68,0,49,93,81,87,49,84,78,82,71,48,42
2017-07-29,66,0,0,0,79,41,29,55,71,82,68,56,58,69,76,54,30,20
2017-07-30,47,0,0,98,82,27,59,28,74,87,80,38,53,51,85,73,37,57
2017-07-31,62,100,0,82,85,89,50,85,95,83,74,76,87,68,89,54,42,85
2017-08-01,57,0,0,0,90,95,83,73,86,65,88,37,76,68,86,17,64,85
2017-08-02,30,0,0,100,99,91,79,74,68,70,93,63,90,78,87,53,34,62
2017-08-03,57,0,0,0,91,87,83,64,77,72,78,56,83,74,100,33,32,75
2017-08-04,38,0,0,36,100,74,0,43,66,58,79,38,80,62,89,17,30,74
2017-08-05,37,0,0,0,92,33,0,27,39,71,64,53,46,55,75,20,38,16
2017-08-06,38,0,0,85,94,50,0,45,59,84,79,59,49,54,86,54,17,17
2017-08-07,30,0,0,34,94,82,80,53,61,65,72,53,80,59,92,43,35,59
2017-08-08,35,0,0,67,91,82,0,26,82,74,86,64,79,89,85,27,55,75
2017-08-09,42,0,0,35,88,100,0,83,78,58,78,48,100,86,86,45,47,82
2017-08-10,32,0,0,0,90,89,0,57,86,67,97,57,88,96,84,29,100,67
2017-08-11,38,0,0,36,84,82,0,29,95,71,89,46,74,66,78,29,45,60
2017-08-12,61,0,0,0,89,58,0,27,74,61,77,26,58,44,75,13,38,36
2017-08-13,19,0,0,0,93,30,100,44,64,81,79,49,55,35,84,54,22,25
2017-08-14,63,0,0,0,82,97,85,47,69,71,63,42,77,47,84,40,33,80
2017-08-15,63,0,0,0,82,96,0,60,67,70,77,49,74,78,79,45,47,100
2017-08-16,47,0,0,35,80,89,0,46,67,59,91,78,77,74,79,68,47,79
2017-08-17,37,0,0,0,87,92,84,28,76,66,99,79,94,78,79,51,44,76
2017-08-18,37,0,0,0,81,89,85,33,65,54,69,80,67,85,72,52,22,70
2017-08-19,67,0,0,41,94,45,0,16,50,67,72,74,43,55,74,39,47,28
2017-08-20,49,0,0,41,90,40,0,32,47,68,73,61,43,60,72,33,29,12
2017-08-21,19,0,0,33,84,65,78,39,62,66,79,63,59,56,77,26,34,58
2017-08-22,57,0,0,0,93,80,0,87,56,48,88,100,78,79,86,56,39,92
2017-08-23,100,0,0,0,88,87,84,46,80,59,76,90,79,78,93,62,44,90
2017-08-24,52,0,0,0,84,80,83,73,61,68,74,44,85,78,91,100,36,68
2017-08-25,58,0,0,36,81,73,0,70,70,55,63,65,67,81,84,80,29,77
2017-08-26,54,0,0,0,78,51,0,21,61,86,65,39,51,56,69,39,21,20
2017-08-27,52,0,0,0,89,40,0,36,47,74,64,58,36,35,75,56,28,27
2017-08-28,67,0,0,35,78,68,0,100,69,100,74,66,72,53,86,83,68,44
2017-08-29,66,0,0,34,87,93,0,72,88,96,68,65,67,72,81,82,35,67
2017-08-30,56,0,0,0,81,98,0,72,96,87,100,88,77,100,82,22,57,87
2017-08-31,72,0,0,35,76,85,0,45,100,87,75,59,70,70,79,100,46,64
2017-09-01,37,0,0,0,72,69,0,44,73,74,84,48,68,57,82,45,82,68
2017-09-02,18,0,0,0,72,32,0,49,58,64,69,32,50,42,75,25,46,36
2017-09-03,54,0,0,58,71,35,0,21,53,70,75,51,40,55,79,19,41,37
2017-09-04,46,0,0,0,83,49,0,48,63,69,81,32,50,40,89,31,62,43
2017-09-05,54,0,0,96,71,84,0,72,66,66,77,35,72,68,92,39,96,46
2017-09-06,43,0,0,0,72,69,48,66,69,63,71,57,79,78,88,61,65,70
2017-09-07,39,0,0,0,71,67,0,64,83,78,76,56,84,53,89,52,100,48
2017-09-08,55,0,0,49,72,72,50,59,79,80,60,88,80,53,78,56,34,74
2017-09-09,70,0,0,57,65,26,59,57,62,74,84,29,54,40,71,31,45,29
2017-09-10,51,0,0,0,74,32,0,31,59,79,54,28,44,35,69,58,39,21
2017-09-11,20,0,0,96,69,71,0,68,76,100,100,57,68,52,84,69,58,61
2017-09-12,49,83,0,0,77,83,99,78,81,85,66,99,72,81,85,50,38,100
2017-09-13,45,0,0,0,85,80,0,58,79,80,96,62,88,65,84,58,53,52
2017-09-14,65,0,0,48,93,75,0,79,73,89,78,100,85,90,92,56,63,61
2017-09-15,57,0,0,0,82,79,0,64,72,81,84,54,85,66,82,49,50,73
2017-09-16,73,0,0,59,88,39,0,30,60,64,75,34,64,48,86,39,53,45
2017-09-17,47,0,0,0,84,40,59,33,48,66,78,48,52,47,84,38,81,18
2017-09-18,25,0,0,49,87,84,0,63,85,72,85,68,89,73,85,59,59,68
2017-09-19,30,0,0,48,89,90,49,85,82,64,76,92,92,83,90,68,96,88
2017-09-20,35,0,0,48,84,73,100,62,96,59,76,73,93,100,87,83,39,80
2017-09-21,65,0,0,0,83,84,0,77,81,66,80,96,92,71,82,83,54,74
2017-09-22,67,0,0,50,84,72,52,71,84,56,84,70,70,83,76,44,55,29
2017-09-23,97,0,0,59,90,21,0,25,67,54,79,24,56,58,74,42,41,22
2017-09-24,53,100,0,0,100,42,0,29,80,62,98,27,54,41,78,51,69,29
2017-09-25,100,0,0,97,89,78,0,79,78,63,92,70,86,70,100,72,87,58
2017-09-26,80,0,0,48,87,68,0,65,100,63,86,77,91,83,87,67,92,71
2017-09-27,61,0,0,98,92,100,0,60,97,59,92,71,94,65,92,87,69,84
2017-09-28,56,0,0,49,91,89,51,98,81,72,83,76,96,76,83,100,74,69
2017-09-29,83,87,0,100,82,63,0,100,80,62,79,93,100,64,76,74,60,57
2017-09-30,37,0,0,0,81,36,0,55,69,56,81,55,61,64,76,29,48,26
2017-10-01,66,0,0,33,100,41,0,43,44,32,62,26,41,39,93,47,40,15
2017-10-02,58,0,0,0,89,78,0,63,67,63,60,100,71,60,95,82,96,56
2017-10-03,80,0,0,27,82,81,79,76,80,100,100,56,91,69,100,76,37,59
2017-10-04,61,0,0,27,94,90,0,68,78,85,88,59,94,74,95,90,71,48
2017-10-05,61,0,0,28,81,93,0,51,77,70,84,69,76,87,90,45,91,81
2017-10-06,94,0,0,56,81,91,83,58,62,51,78,29,83,82,88,41,54,75
2017-10-07,61,0,0,66,77,51,0,29,48,51,72,20,68,70,83,48,29,21
2017-10-08,58,0,0,32,80,45,93,52,49,45,74,20,48,38,89,37,61,26
2017-10-09,54,0,0,53,86,78,0,81,63,43,73,38,69,67,93,54,51,61
2017-10-10,54,0,0,27,96,90,0,81,70,39,91,55,75,71,97,52,79,100
2017-10-11,56,0,0,82,88,87,0,80,67,37,69,33,80,68,99,66,76,50
